GT_ID,PredictionID,Ticker,Recommendation,Confidence,ActualReturn5D,Correct
1,1,TSLA,SELL,0.1804632918399286,0.013520527960313162,True
2,2,AAPL,HOLD,0.6247302916366014,0.02645996224587723,False
3,3,MSFT,HOLD,0.02787741540551636,0.10990562480926862,True
4,4,AMZN,HOLD,0.7351423202400316,0.022316671798976215,False
5,5,AAPL,SELL,0.04222165222392127,0.04620553478817873,False
6,6,AAPL,SELL,0.6740795417269506,0.04668302719860713,True
7,7,TSLA,HOLD,0.21236884535128964,-0.09063510875749584,False
8,8,NVDA,BUY,0.591190988408334,-0.0062309008629110535,True
9,9,AAPL,SELL,0.2759746873859379,-0.008482267092123918,False
10,10,MSFT,SELL,0.022402813798596766,-0.022998476250251577,True
11,11,TSLA,BUY,0.6855370491014435,0.04282668976093474,True
12,12,NVDA,BUY,0.4486591441719292,0.0813360388151419,False
13,13,AAPL,HOLD,0.7242306625065876,-0.046223481199096236,True
14,14,AMZN,HOLD,0.05628449839196492,-0.0077997097648435845,False
15,15,AMZN,SELL,0.5302034215504031,0.02124987568853916,False
16,16,AMZN,BUY,0.054266394648734284,-0.03897757036648834,True
17,17,TSLA,HOLD,0.14384704566014284,-0.1058268088279775,False
18,18,AMZN,BUY,0.7844132574359453,-0.010753151285931042,False
19,19,NVDA,BUY,0.22867230474585065,-0.05520453546610845,False
20,20,TSLA,SELL,0.09332351731567312,-0.09692294772792173,True
21,21,MSFT,HOLD,0.14180871772763115,0.04509485154341755,False
22,22,MSFT,SELL,0.14143220951443436,0.08177406451407968,False
23,23,AMZN,BUY,0.8438238909215371,0.026446312365535324,False
24,24,TSLA,SELL,0.5899425367026359,0.020798196355818883,True
25,25,AMZN,SELL,0.7923490214866913,0.02170415073236559,True
26,26,AMZN,BUY,0.2572190963807842,-0.0038803982591474723,False
27,27,MSFT,HOLD,0.6263408324595985,0.02245844958901639,True
28,28,MSFT,BUY,0.898907590987738,-0.006565095374120418,True
29,29,TSLA,SELL,0.533955490750817,-0.03754674910262212,True
30,30,AMZN,SELL,0.8707340561600945,0.063882589268404,False
31,31,TSLA,HOLD,0.2180457146282806,0.0374380776185126,True
32,32,NVDA,BUY,0.9669267000130077,0.13286365245570878,False
33,33,NVDA,SELL,0.07969248856433797,-0.04093036375398569,True
34,34,AAPL,BUY,0.7611083597328594,-0.07225755806014118,True
35,35,MSFT,HOLD,0.20171882428585908,0.0670881595636599,True
36,36,TSLA,BUY,0.11688770194339293,-0.005259477776195705,True
37,37,AMZN,BUY,0.5590259315099929,0.06783936225267347,False
38,38,AAPL,SELL,0.3170222825992334,0.1007007046266071,True
39,39,NVDA,BUY,0.22251995129483693,-0.06863148241938674,True
40,40,AMZN,HOLD,0.43912328973052506,-0.042871420046847755,False
41,41,AAPL,SELL,0.9884214329976069,-0.08406442251616647,True
42,42,AAPL,HOLD,0.6326775584564301,-0.007529932709497607,False
43,43,NVDA,BUY,0.2786029655745439,-0.03605319983904032,False
44,44,AMZN,BUY,0.9859022031764596,-0.09704412140952814,True
45,45,AMZN,SELL,0.27916668089676155,0.004995252979417584,True
46,46,AAPL,BUY,0.7196516118981996,0.06409182224638549,False
47,47,MSFT,BUY,0.26333281453095747,-0.04850397007026695,True
48,48,MSFT,HOLD,0.7743064479265209,0.062268827472016654,False
49,49,MSFT,BUY,0.6439841243857556,0.03484356870501986,False
50,50,AAPL,SELL,0.5727068625777555,-0.0032276009478766944,True
51,51,MSFT,SELL,0.4588948742637152,-0.05289201624900518,True
52,52,NVDA,HOLD,0.24284325984597044,-0.02346111381520887,True
53,53,AAPL,HOLD,0.6094272384712242,0.1064197741269072,True
54,54,MSFT,BUY,0.8743475491172846,-0.019462039740211753,False
55,55,TSLA,BUY,0.03130541405087395,0.028480646864711558,True
56,56,AMZN,HOLD,0.7326697388286103,-0.013714973171081519,False
57,57,AAPL,SELL,0.8799225351602699,-0.05492084288307655,True
58,58,AMZN,HOLD,0.6168877802531492,0.03448604309802647,True
59,59,AMZN,SELL,0.2584306324083787,0.08246241209388251,False
60,60,MSFT,SELL,0.351475059441982,0.05325663205949303,False
