AuditID,PredictionID,HallucinationScore,CalibrationError,TheoryScore,OverallAudit
1,1,0.06320482121691595,0.27168135813174477,0.913578918296801,27.536345037982347
2,2,0.37905444622391105,0.6397270437316123,0.7289601976453268,95.44313789573808
3,3,0.3424335228146467,0.3900580373018665,0.10714531786189696,22.915645237479175
4,4,0.6468215249343464,0.3030692892057736,0.6649948238340624,39.71140340328145
5,5,0.8879207710432816,0.2546159351015198,0.4120593377116154,29.338780701944167
6,6,0.14298979012766122,0.4857307866628775,0.2596147771366438,64.34590492433192
7,7,0.8162537513998236,0.7755368723009688,0.6019514224019971,41.80097259576758
8,8,0.6097234027512662,0.8053259580175688,0.302190167339327,95.71082083445226
9,9,0.029242694013976278,0.7905697006854675,0.5308563256808755,96.74200787195868
10,10,0.7668886791662436,0.8856452506740252,0.5759773853564093,9.691401801436516
11,11,0.5376880330339259,0.050741830639421504,0.5290669153175487,92.83330925386885
12,12,0.7999288245801247,0.9822168599100114,0.010686520253527898,79.79960151715466
13,13,0.4088680328694464,0.42646149178859716,0.348738914166999,71.23374361336762
14,14,0.6655027937880515,0.19298210794577952,0.7904622642826705,36.278598135338925
15,15,0.19880420538553856,0.9700227833676315,0.34689564414614005,67.95572398649928
16,16,0.19184457474798877,0.8251823228761317,0.5093794997730307,81.06664339207681
17,17,0.34026240812561515,0.9297235523838182,0.34663207969126386,83.04247459573004
18,18,0.5194405063277148,0.5231537257537632,0.19923790748845183,80.57756185030537
19,19,0.7165267905793272,0.7477418496154136,0.19975347066528681,32.002359005974924
20,20,0.6668048227723277,0.5194640377742835,0.748859584640402,18.50129920243343
21,21,0.8213445631683517,0.5394501138114556,0.627952659636836,54.3775350622909
22,22,0.4263969157830795,0.9515009644070361,0.932057041088958,25.422602090442204
23,23,0.9125292544458348,0.7383569836420978,0.4210046599370373,78.49851823313911
24,24,0.10916772410022535,0.5667778068474927,0.6365672593725238,4.4669986523723
25,25,0.18720330880440683,0.3927352644321399,0.4685395758399834,42.54085476545279
26,26,0.6837175752899485,0.16432763861441124,0.47393787286906197,77.85880290226876
27,27,0.2537726800621737,0.11573037457541713,0.8540873756008774,8.055910408764754
28,28,0.16459054620342062,0.29966614553662196,0.4543027437485102,68.69791452858537
29,29,0.8864937449328572,0.6928043451973245,0.9281668006312838,23.106325649730476
30,30,0.06840084648216127,0.19155261876570961,0.6205072571476393,12.739389279891732
31,31,0.9914711074357121,0.13146213659070616,0.08542429297114362,30.788685458383913
32,32,0.862589311370107,0.07775737697313989,0.06798291605090445,1.9336247994177436
33,33,0.8682577473523028,0.8462493800401598,0.9823142123446809,63.002249728682344
34,34,0.6287130625457747,0.24118982176047088,0.3993593860447815,33.29088828900948
35,35,0.22485567983494403,0.2008504640859532,0.5874588318505717,99.37111994613984
36,36,0.7980915547272193,0.3908538678925718,0.4315860696701923,9.783934694564323
37,37,0.053800565174306536,0.6294862004857275,0.158896438494607,89.48842758420368
38,38,0.582115344947845,0.5862597572348028,0.12555170305093377,49.79577486891282
39,39,0.43915963513820166,0.9236578068800452,0.21269615262495822,11.770071909301127
40,40,0.7504068319797628,0.6819721303815472,0.6053378112295557,85.61173411486968
41,41,0.023768132196100522,0.5619715500975947,0.5465335873757587,11.104556365185225
42,42,0.3867855037467396,0.7115981672249322,0.3285884322865048,64.5859280762972
43,43,0.47709440152749405,0.6637234880901197,0.04417423970816814,24.521756260971372
44,44,0.15235922547755543,0.767478319227962,0.32402805011222846,44.911754420633045
45,45,0.41472018678344846,0.5724263128483078,0.39830332365240295,57.30199230654362
46,46,0.9104776860613233,0.8072907950548832,0.7564237829340678,91.967545958765
47,47,0.468634224195022,0.9000573049353442,0.7374839894934233,28.4513760487612
48,48,0.2517761776166666,0.6964768294145666,0.22140809653603255,38.769484652829156
49,49,0.5323350610316762,0.3576198580418821,0.22767395199424867,19.959577079121782
50,50,0.060842434583877836,0.27997823560285806,0.6278828273877696,34.362163532750436
51,51,0.2942685427636743,0.6371856652119066,0.6517763473952897,12.58118279219097
52,52,0.7836367416903384,0.6314291382744621,0.5611027760705191,54.80833961454113
53,53,0.6419142502462526,0.023910563851629152,0.11197138032779375,55.92316137890512
54,54,0.023984851587710243,0.747109389627796,0.28572014839159043,62.337313621545675
55,55,0.5698759987051809,0.22187448682775046,0.03170321146107313,23.035237963790177
56,56,0.217340080443442,0.05449016214043634,0.7615941474726534,43.23556528541507
57,57,0.9757498158285773,0.15319920756241112,0.8065034273644852,4.142908746895547
58,58,0.7836869956934533,0.6567808884737264,0.9204805994112247,4.025668760753387
59,59,0.12790809922770463,0.5230546880987594,0.08791556678404544,30.946285838805345
60,60,0.3855456776809947,0.8469377416298873,0.9062129562245375,48.9142951174552
61,61,0.48996963150467054,0.10625274999099044,0.9184252230271858,69.29740181623136
62,62,0.18237171379222494,0.829516640558441,0.9977059924321842,75.86734650146218
63,63,0.7042838534638232,0.6509178999698826,0.7778885680443031,40.17809800459199
64,64,0.8413787602688142,0.21492954390011454,0.2626378356410527,75.56064215953351
65,65,0.004464595389564008,0.7369056156720564,0.2645588697189384,72.76040106573281
66,66,0.13322338813487433,0.7413332879208887,0.6882168777089944,63.247417053847364
67,67,0.2834628391543551,0.1080015844823825,0.6797326616621708,14.162976114870352
68,68,0.984110227654783,0.2664468110210094,0.660329200595471,28.724398857692602
69,69,0.4045278785001656,0.6388649039268323,0.3531208682404954,53.38767517623665
70,70,0.1702519629762531,0.3805746630158313,0.5197972782804574,81.39319337481362
71,71,0.1209271179720528,0.7652449460248011,0.3014974791337992,40.33138168471607
72,72,0.9013561636857569,0.5360424408076255,0.5967907154163188,96.70662464376753
73,73,0.8102440844424843,0.8569970748307678,0.7724021772527104,66.54005697376355
74,74,0.6193006073063304,0.11102601540791324,0.6986962797346445,31.305563710469297
75,75,0.5396956570693588,0.7337467724624002,0.43250532828480526,56.14340801656713
76,76,0.7771537615303663,0.4646399700689676,0.5247284010563011,37.50736814717354
77,77,0.31815053830366735,0.5193909558246362,0.7724184966593586,91.1981144388855
78,78,0.6398546571412967,0.2840455621221746,0.23285290915336143,4.834719400136778
79,79,0.7368454413919675,0.2690631536826119,0.2212985990015477,22.89155350281519
80,80,0.5756487262436776,0.18980381538838287,0.4849868131360374,9.65665309509599
81,81,0.16873195348547398,0.3733456825587742,0.4941364782806674,80.5619691948332
82,82,0.9859047964010813,0.23898784499249692,0.023472747932016813,19.10794024496665
83,83,0.8111955617155305,0.18972807629864252,0.5819463389001059,74.28473809820801
84,84,0.49062694324010003,0.9617959126059913,0.4177414323005648,56.159649411635115
85,85,0.6199701755815862,0.4474142824826589,0.5763797049856364,83.02159852368929
86,86,0.7600759906649841,0.6781223326131219,0.9148236739390743,99.49487926912144
87,87,0.4585851836596073,0.37414815850767913,0.33311808303924517,15.423678655640172
88,88,0.739116204876751,0.5697937438063874,0.10783584424794856,15.041733146828873
89,89,0.7729278978334481,0.4992021090336326,0.20651868878957647,63.621553338773886
90,90,0.45900738952238873,0.6126881483507907,0.3065370579122182,3.6304373004461765
91,91,0.18776812782184882,0.722728754448925,0.863470095953098,81.74179501988372
92,92,0.5977670787061549,0.663909205751314,0.5490742921137304,37.66392918496243
93,93,0.5542888392884701,0.7621033886497018,0.995082066501174,39.89347229262198
94,94,0.500493685819311,0.14630440791225285,0.28503201594050587,57.20458128324684
95,95,0.05858202317369332,0.09403114050354289,0.068726816118869,34.209539076707564
96,96,0.7775631943305389,0.33889943307925674,0.3011881362852883,30.023523991797173
97,97,0.5387082535651173,0.48182786087509044,0.9925949324479775,20.496921884577425
98,98,0.43065145226838597,0.22440258642932365,0.7430991647381311,71.88214703102348
99,99,0.8148922205470591,0.773224529969948,0.9150613496497855,76.86125608379459
100,100,0.19688469106306683,0.7195559442230915,0.5948447337089605,60.81026640537153
